Medication Name,Strength,Form,Quantity on Hand,Unit of Measure,Expiry Date,Cost per Unit,Selling Price per Unit,Unit for Pricing,Batch Number
Amlodipine,10mg,Tablet,16,PACKS,2027-06-01,1050,1500,,
Lisinopril,10mg,Tablet,7,PACKS,2028-06-01,980,1400,,
Amlodipine,5mg,Tablet,5,PACKS,2027-08-01,770,1100,,
Lisinopril,5mg,Tablet,2,PACKS,2027-03-01,630,900,,
Ramipril,5mg,Tablet,2,PACKS,2026-11-01,1400,2000,,
Ramipril,5mg,Tablet,2,PACKS,2027-06-01,1330,1900,,
Lisinopril,20mg,Tablet,1,PACKS,2028-06-01,1540,2200,,
Olmesartan/Amlodipine,10/160mg,Tablet,1,PACKS,2028-03-01,1050,1500,CARD
Bromazepam,3mg,Tablet,3,PACKS,2029-07-01,35,50,TAB
Labetalol,200mg,Tablet,4,PACKS,2027-08-01,840,1200,CARD
Labetalol,100mg,Tablet,1,PACKS,2026-02-01,700,1000,CARD
Bisoprolol,2.5mg,Tablet,1,PACKS,2028-06-01,945,1350,CARD
Trypsin-Chymotrypsin,,Tablet,1,SACHETS,2026-01-01,280,400,CARD
Diazepam,5mg,Tablet,5,CARDS,2027-09-01,35,50,TAB
Diazepam,5mg,Tablet,600,TABS,2027-07-01,35,50,TAB
Phenobarbital,30mg,Tablet,1000,TABS,2028-01-01,21,30,TAB
Aspirin,75mg,Tablet,6,PACKS,2026-12-01,140,200,CARD
Hydrochlorothiazide,2.5mg,Tablet,10,PACKS,2027-03-01,175,250,CARD
Clopidogrel,75mg,Tablet,3,PACKS,2026-08-01,1610,2300,,
Atenolol,100mg,Tablet,7,PACKS,2026-12-01,665,950,CARD
Atenolol,50mg,Tablet,5,PACKS,2026-04-01,560,800,CARD
Telmisartan,40mg,Tablet,2,PACKS,2027-07-01,700,1000,CARD
Telmisartan,80mg,Tablet,2,PACKS,2027-07-01,630,900,CARD
Telmisartan/HCTZ,12.5mg,Tablet,1,PACKS,2027-01-01,910,1300,CARD
Simvastatin,20mg,Tablet,27,PACKS,2026-12-01,1610,2300,PACK
Propranolol,40mg,Tablet,7,PACKS,2026-08-01,1260,1800,PACK
Atorvastatin,20mg,Tablet,7,PACKS,2026-12-01,2100,3000,PACK
Atorvastatin,10mg,Tablet,1,PACKS,2026-12-01,1470,2100,PACK
Indapamide,2.5mg,Tablet,5,PACKS,2028-01-01,840,1200,CARD
Losartan,50mg,Tablet,16,PACKS,2026-10-01,490,700,CARD
Losartan,25mg,Tablet,9,PACKS,2028-03-01,385,550,CARD
Losartan,100mg,Tablet,2,PACKS,2026-09-01,70,100,CARD
Methyldopa,250mg,Tablet,3,PACKS,2026-06-01,350,500,CARD
Valsartan,80mg,Tablet,3,PACKS,2026-06-01,1715,2450,PACK
Nebivolol,5mg,Tablet,9,PACKS,2027-08-01,2240,3200,PACK
Amiloride/HCTZ,5/50mg,Tablet,10,PACKS,2026-03-01,245,350,CARD
Spironolactone/HCTZ,,Tablet,2,PACKS,2026-02-01,140,200,CARD
Nifedipine,20mg,Tablet,1,PACKS,2026-12-01,56,80,TAB
Nifedipine,30mg,Tablet,1,PACKS,2027-08-01,70,100,TAB
Ferrous Sulphate,,Tablet,1000,TABS,2027-03-01,4,5,TAB
B Complex,,Tablet,200,TABS,2027-06-01,4,5,TAB
Vitamin C,100mg,Tablet,1000,TABS,2028-02-01,6,8,TAB
Metronidazole,200mg,Tablet,1000,TABS,2028-03-01,11,15,TAB
Paracetamol,500mg,Tablet,1000,TABS,2028-07-01,11,15,TAB
Folic Acid,,Tablet,300,TABS,2027-01-01,4,5,TAB
Darrows Half Strength,,Injection,11,BOTTLES,2026-08-01,560,800,,
Ringers Lactate,,Injection,12,BOTTLES,2027-05-01,560,800,,
5% Dextrose/Saline,,Injection,6,BOTTLES,2027-04-01,560,800,,
Omeprazole,40mg,Injection,3,VIALS,2026-08-01,665,950,,
Levofloxacin,,Injection,4,BOTTLES,2026-10-01,2450,3500,,
Levofloxacin,,Injection,2,BOTTLES,2029-07-01,910,1300,,
Glucose 50%,,Injection,8,VIALS,2027-03-01,665,950,,
Metronidazole,5mg,Injection,1,BOTTLES,2027-09-01,455,650,,
Ciprofloxacin,,Injection,5,BOTTLES,2027-10-01,455,650,,
Hydrocortisone,,Cream,1,TUBES,2028-03-01,700,1000,,
Miconazole,2%,Cream,3,TUBES,2028-03-01,1050,1500,,
Whitfields,,Ointment,1,TUBES,2028-07-01,560,800,,
Penicillin,,Ointment,3,TUBES,2028-01-01,840,1200,,
Tribotan,,Cream,1,TUBES,2028-02-01,1050,1500,,
Tioconazole,1%,Cream,1,TUBES,2026-09-01,1050,1500,,
Calamine,,Lotion,4,BOTTLES,2027-05-01,350,500,,
Lignocaine HCl,2%,Gel,2,TUBES,2026-04-01,420,600,,
Mycoten,,Tablet,1,PACKS,2029-05-01,1050,1500,,
Dermazin,,Cream,1,TUBES,2026-08-01,1330,1900,,
Sulphur Skin,,Ointment,1,TUBES,2028-06-01,1190,1700,,
Drujela,,Cream,1,TUBES,2027-01-01,560,800,,
Miconazole Nitrate,2%,Cream,1,TUBES,2028-03-01,840,1200,,
Iodine Tincture,,Lotion,12,BOTTLES,2026-12-01,315,450,,
Boil Plaster,,Consumable,1,PCS,2026-08-01,35,50,,
Levonorgestrel,0.7mg,Tablet,2,PACKS,2027-11-01,595,850,PACK
Cicatrin,,Powder,4,PACKS,2026-03-01,980,1400,,
Disposable Needle,,Consumable,2,PACKS,2027-01-01,35,50,PCS
Disposable Insulin Needle,,Consumable,1,PCS,2028-06-01,210,300,,
Soframycin Tulle,,Dressing,3,PACKS,2027-06-01,910,1300,,
Cannula 20G,,Consumable,70,PCS,2027-12-01,210,300,PCS
Cannula 24G,,Consumable,44,PCS,2030-03-01,210,300,PCS
Cannula 18G,,Consumable,32,PCS,2029-10-01,210,300,PCS
Cannula 22G,,Consumable,15,PCS,2029-09-01,210,300,PCS
Gliclazide,60mg,Tablet,3,PACKS,2027-01-01,4900,7000,,
Gliclazide,60mg,Tablet,3,PACKS,2026-07-01,4900,7000,,
Metformin,500mg,Tablet,1,PACKS,2026-06-01,1610,2300,,
Vildagliptin,50mg,Tablet,1,PACKS,2026-12-01,3150,4500,,
Glibenclamide,5mg,Tablet,1,CARDS,2027-05-01,210,300,CARD
Priton,,Syrup,11,BOTTLES,2026-04-01,1750,2500,,
ORS,,Tablet,7,PACKS,2027-05-01,175,250,CARD
Dequadin,,Tablet,2,BOXES,,350,500,CARD
Dequalin,,Tablet,1,PCS,2026-05-01,350,500,CARD
Zinc Sulphate,,Tablet,8,PACKS,2027-10-01,210,300,CARD
Ciprofloxacin,,Eye drops,10,BOTTLES,2027-01-01,700,1000,,
Chloramphenicol,,Eye drops,9,BOTTLES,2026-12-01,490,700,CARD
Gentamicin,,Eye drops,1,BOTTLES,2027-07-01,490,700,,
Tobramycin,,Eye drops,1,BOTTLES,2027-04-01,1050,1500,,
Antallerge,,Eye drops,1,BOTTLES,2027-06-01,840,1200,,
Artemether/Lumefantrine,80/480mg,Tablet,10,PACKS,2027-01-01,910,1300,,
Glimepiride,2mg,Tablet,2,PACKS,2026-06-01,3360,4800,,
Artemether/Lumefantrine,80/480mg,Tablet,20,PACKS,2027-12-01,1050,1500,,
Artemether/Lumefantrine,,Tablet,5,PACKS,2027-06-01,1750,2500,,
Artemether/Lumefantrine,40/320mg,Tablet,10,PACKS,2027-12-01,910,1300,,
Artemether/Lumefantrine,80/480mg,Tablet,2,PACKS,2026-10-01,1050,1500,,
Proguanil,100mg,Tablet,2,PACKS,2026-12-01,140,200,CARD
Co-trimoxazole,960mg,Tablet,10,CARDS,2030-09-01,280,400,CARD
Albendazole,400mg,Tablet,25,PACKS,2028-08-01,175,250,,
Metronidazole,400mg,Tablet,1,PACKS,2027-02-01,210,300,CARD
Ceftriaxone,1g,Injection,7,VIALS,2027-07-01,700,1000,,
Ceftriaxone,1g,Injection,3,VIALS,2027-07-01,1050,1500,,
Amoxiclav,1.2g,Injection,2,VIALS,2026-04-01,1260,1800,,
Ceftriaxone,1.2g,Injection,2,VIALS,2026-12-01,1540,2200,,
Hydrocortisone,100mg,Injection,2,VIALS,2026-03-01,350,500,,
Artesunate,60mg,Injection,2,VIALS,2026-07-01,980,1400,,
Promethazine,25mg,Injection,26,AMPOULES,2026-10-01,70,100,,
Epinephrine (Adrenaline),1mg,Injection,16,AMPOULES,2028-03-01,350,500,,
Metoclopramide,10mg,Injection,10,AMPOULES,2027-06-01,70,100,,
Dexamethasone,4mg,Injection,10,AMPOULES,2026-12-01,105,150,AMP
Epinephrine (Adrenaline),1mg,Injection,6,AMPOULES,2027-01-01,350,500,,
Diazepam,10mg,Injection,20,AMPOULES,2027-01-01,350,500,,
Paracetamol,300mg,Injection,5,AMPOULES,2028-01-01,70,100,,
Chlorphenamine,10mg,Injection,10,AMPOULES,2027-03-01,140,200,,
Hydralazine,20mg,Injection,10,AMPOULES,2026-08-01,280,400,,
Hyoscine,10mg,Injection,30,AMPOULES,2026-06-01,70,100,,
Rabeprazole,20mg,Injection,1,VIALS,2026-03-01,1400,2000,,
Secnidazole,500mg,Tablet,24,PACKS,2027-05-01,560,800,,
Tetracycline,250mg,Capsule,8,CARDS,2026-02-01,280,400,,
Ampicillin/Cloxacillin,500mg,Capsule,7,CARDS,2028-01-01,490,700,CARD
Mediclox,500mg,Capsule,10,CARDS,2026-10-01,1750,2500,CARD
Hydroxyurea,500mg,Tablet,10,CARDS,2026-04-01,700,1000,CARD
Doxycycline,100mg,Capsule,3,PACKS,2027-03-01,350,500,CARD
Azithromycin,500mg,Tablet,7,PACKS,2028-01-01,1960,2800,,
Cefuroxime,500mg,Tablet,13,PACKS,2027-09-01,1330,1900,,
Ornilox,500mg,Tablet,5,PACKS,2027-05-01,1960,2800,,
Azithromycin,250mg,Tablet,10,PACKS,2028-02-01,1260,1800,,
Nitrofurantoin,100mg,Tablet,6,PACKS,2026-08-01,630,900,CARD
Cefixime,400mg,Tablet,1,PACKS,2027-03-01,1400,2000,,
Levofloxacin,500mg,Tablet,7,PACKS,2027-01-01,1400,2000,,
